bse_code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades,report link
506943,JBCHEPHARM,A,1790.0,1844.0,1790.0,1815.55,6119,111.4,857,https://www.bseindia.com/stock-share-price/jbchepharm/jbchepharm/506943/financials-annual-reports/
500331,PIDILITIND,A,3179.0,3190.45,3128.95,3139.3,3475,109.5,930,https://www.bseindia.com/stock-share-price/pidilitind/pidilitind/500331/financials-annual-reports/
500300,GRASIM,A,2710.05,2736.2,2710.05,2721.2,3972,108.15,726,https://www.bseindia.com/stock-share-price/grasim/grasim/500300/financials-annual-reports/
533293,KIRLOSENG,A,1167.2,1181.95,1151.15,1159.05,9201,107.15,1080,https://www.bseindia.com/stock-share-price/kirloseng/kirloseng/533293/financials-annual-reports/
543258,INDIGOPNTS,A,1479.0,1485.5,1455.6,1468.4,7109,104.68,814,https://www.bseindia.com/stock-share-price/indigopnts/indigopnts/543258/financials-annual-reports/
533398,MUTHOOTFIN,A,1950.0,1966.6,1928.0,1943.55,5379,104.68,1223,https://www.bseindia.com/stock-share-price/muthootfin/muthootfin/533398/financials-annual-reports/
543276,CRAFTSMAN,A,6343.8,6343.8,6176.95,6244.8,1671,104.21,376,https://www.bseindia.com/stock-share-price/craftsman/craftsman/543276/financials-annual-reports/
532942,KNRCON,A,321.9,326.75,320.1,322.0,32187,104.17,1271,https://www.bseindia.com/stock-share-price/knrcon/knrcon/532942/financials-annual-reports/
509480,BERGEPAINT,A,576.0,581.25,571.9,573.05,18064,104.1,741,https://www.bseindia.com/stock-share-price/bergepaint/bergepaint/509480/financials-annual-reports/
500210,INGERRAND,A,4249.45,4469.3,4249.45,4403.05,2356,103.81,643,https://www.bseindia.com/stock-share-price/ingerrand/ingerrand/500210/financials-annual-reports/
500265,MAHSEAMLES,A,627.65,632.35,619.05,624.45,16113,100.74,1008,https://www.bseindia.com/stock-share-price/mahseamles/mahseamles/500265/financials-annual-reports/
539268,SYNGENE,A,895.0,901.75,874.05,880.7,11295,100.49,867,https://www.bseindia.com/stock-share-price/syngene/syngene/539268/financials-annual-reports/
500042,BASF,A,8400.0,8400.0,8097.0,8117.95,1215,100.24,461,https://www.bseindia.com/stock-share-price/basf/basf/500042/financials-annual-reports/
533155,JUBLFOOD,A,630.4,634.5,620.0,623.65,15969,99.76,734,https://www.bseindia.com/stock-share-price/jublfood/jublfood/533155/financials-annual-reports/
544014,HONASA,B,429.05,433.15,422.5,423.55,23361,99.61,751,https://www.bseindia.com/stock-share-price/honasa/honasa/544014/financials-annual-reports/
532144,WELCORP,A,701.0,714.35,696.05,697.7,14137,99.39,504,https://www.bseindia.com/stock-share-price/welcorp/welcorp/532144/financials-annual-reports/
543425,MAPMYINDIA,A,2146.9,2146.9,2082.2,2117.45,4679,98.35,910,https://www.bseindia.com/stock-share-price/mapmyindia/mapmyindia/543425/financials-annual-reports/
539336,GUJGASLTD,A,600.05,605.3,591.3,602.95,16291,98.22,1101,https://www.bseindia.com/stock-share-price/gujgasltd/gujgasltd/539336/financials-annual-reports/
543498,MSUMI,A,66.8,67.27,65.9,65.97,146179,97.04,1463,https://www.bseindia.com/stock-share-price/msumi/msumi/543498/financials-annual-reports/
532522,PETRONET,A,352.5,359.0,350.0,352.0,27024,95.8,694,https://www.bseindia.com/stock-share-price/petronet/petronet/532522/financials-annual-reports/
532210,CUB,A,154.95,156.85,153.75,154.15,61417,95.11,1445,https://www.bseindia.com/stock-share-price/cub/cub/532210/financials-annual-reports/
500109,MRPL,A,179.5,179.5,175.35,175.85,52925,93.4,1538,https://www.bseindia.com/stock-share-price/mrpl/mrpl/500109/financials-annual-reports/
543066,SBICARD,A,742.25,744.05,734.7,737.05,12552,92.81,866,https://www.bseindia.com/stock-share-price/sbicard/sbicard/543066/financials-annual-reports/
513683,NLCINDIA,A,275.0,276.85,269.25,269.85,33931,92.63,764,https://www.bseindia.com/stock-share-price/nlcindia/nlcindia/513683/financials-annual-reports/
532388,IOB,A,55.11,55.46,54.25,54.52,167958,92.15,1046,https://www.bseindia.com/stock-share-price/iob/iob/532388/financials-annual-reports/
501425,BBTC,A,2655.05,2741.2,2655.05,2692.0,3400,91.93,547,https://www.bseindia.com/stock-share-price/bbtc/bbtc/501425/financials-annual-reports/
542920,SUMICHEM,A,537.5,552.0,537.5,544.05,16799,91.75,722,https://www.bseindia.com/stock-share-price/sumichem/sumichem/542920/financials-annual-reports/
540767,NAM-INDIA,A,657.95,657.95,639.2,641.7,14111,90.96,1066,https://www.bseindia.com/stock-share-price/nam-india/nam-india/540767/financials-annual-reports/
543227,HAPPSTMNDS,A,805.1,812.0,801.2,808.45,11230,90.61,612,https://www.bseindia.com/stock-share-price/happstmnds/happstmnds/543227/financials-annual-reports/
543064,SUVENPHAR,A,1230.0,1230.0,1186.0,1188.55,7464,89.83,632,https://www.bseindia.com/stock-share-price/suvenphar/suvenphar/543064/financials-annual-reports/
500043,BATAINDIA,A,1419.95,1419.95,1388.4,1393.75,6349,89.15,930,https://www.bseindia.com/stock-share-price/bataindia/bataindia/500043/financials-annual-reports/
539523,ALKEM,A,6332.35,6332.35,6075.0,6136.0,1442,88.65,448,https://www.bseindia.com/stock-share-price/alkem/alkem/539523/financials-annual-reports/
524742,CAPLIPOINT,A,1908.0,1925.9,1882.25,1888.7,4640,88.24,560,https://www.bseindia.com/stock-share-price/caplipoint/caplipoint/524742/financials-annual-reports/
543243,EQUITASBNK,A,76.5,76.5,73.5,74.17,116331,86.77,1153,https://www.bseindia.com/stock-share-price/equitasbnk/equitasbnk/543243/financials-annual-reports/
506395,COROMANDEL,A,1619.65,1646.05,1609.1,1627.35,5324,86.62,1175,https://www.bseindia.com/stock-share-price/coromandel/coromandel/506395/financials-annual-reports/
506820,ASTRAZEN,A,7864.4,7864.4,7713.0,7742.4,1111,86.32,401,https://www.bseindia.com/stock-share-price/astrazen/astrazen/506820/financials-annual-reports/
500038,BALRAMCHIN,A,661.9,661.9,648.85,655.15,13080,85.77,740,https://www.bseindia.com/stock-share-price/balramchin/balramchin/500038/financials-annual-reports/
532181,GMDCLTD,A,329.2,333.25,324.9,326.25,25853,84.94,809,https://www.bseindia.com/stock-share-price/gmdcltd/gmdcltd/532181/financials-annual-reports/
532725,SOLARINDS,A,11300.0,11397.35,11238.65,11294.15,748,84.5,238,https://www.bseindia.com/stock-share-price/solarinds/solarinds/532725/financials-annual-reports/
533023,ZFCVINDIA,A,15262.2,15317.9,14800.0,14855.55,564,84.44,327,https://www.bseindia.com/stock-share-price/zfcvindia/zfcvindia/533023/financials-annual-reports/
523610,ITI,A,248.9,249.2,245.25,246.05,34150,84.31,1168,https://www.bseindia.com/stock-share-price/iti/iti/523610/financials-annual-reports/
532702,GSPL,A,410.85,415.4,408.0,410.15,20436,84.16,446,https://www.bseindia.com/stock-share-price/gspl/gspl/532702/financials-annual-reports/
